Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
100,FRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
101,FRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
102,FRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
103,FRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
104,FRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
105,FRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
106,GMRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
107,GMRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
108,GMRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
109,GMRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
